scenario,label,effTotalElectricalFuelMassEfficiency,effTotalElectricalFuelMassEfficiency_lowerError,effTotalElectricalFuelMassEfficiency_upperError,
4HB_H2,"",84271.319441528,6892.342315200847,918.9789753601217
FORM_H2,"",74491.1567513334,7638.4206070524815,1018.4560809403338
3HP_H2,"",70699.8000373696,8348.97136119692,1113.196181492909
CBB_H2,"",67928.65209620635,9805.600407192993,1307.413387625711
3HP4HB_H2,"",65015.394004214264,8348.971361196905,1113.196181492931
RTCA_H2,"",65228.5592304576,6181.791561056438,824.2388748075391
WL_H2,"",63736.40264675431,5435.713269204796,724.7617692273125
4HB_EET,"",97349.00607155598,15327.290317649255,3331.126530952126
FORM_EET,"",79358.42941722265,10205.640481776267,2023.3255701877788
3HP_EET,"",77050.7026779124,10958.824281169378,3214.725398318653
CBB_EET,"",74113.28586027939,12502.851069925178,3081.206452062601
3HP4HB_EET,"",71025.23228276776,10958.824281169334,2940.8403803575493
RTCA_EET,"",72493.94069158426,9904.366962019049,2838.133498622119
WL_EET,"",70912.25471285879,9113.523972656301,2766.238681407325
