scenario,label,effTotalElectricalToFuel,effTotalElectricalToFuel_lowerError,effTotalElectricalToFuel_upperError,
4HB_H2,"",0.2031384952671401,0.015358093562675451,0.002239649243113484
FORM_H2,"",0.22980914476431538,0.02137328552656459,0.0031855440021306414
3HP_H2,"",0.24213291998676198,0.02557358930197265,0.003873467406187131
CBB_H2,"",0.2520107273920797,0.03178928736755671,0.004945603011960564
3HP4HB_H2,"",0.26330301135172474,0.029964265214360908,0.004586820434963335
RTCA_H2,"",0.2624425439943661,0.022718906793542104,0.003358708638939445
WL_H2,"",0.26858668382032125,0.021106195492814145,0.003089292033116031
4HB_EET,"",0.1758492430107136,0.0239206690860162,0.0062304753277046265
FORM_EET,"",0.21571431228215956,0.024580199631481253,0.005643753770076559
3HP_EET,"",0.22217511885762206,0.02766493777816348,0.009673224676927994
CBB_EET,"",0.23098084003185704,0.03334158212633764,0.010019411800109429
3HP4HB_EET,"",0.24102348525063338,0.03221765466602394,0.010410779596233488
RTCA_EET,"",0.23614041204295827,0.028384336548125277,0.00962156697058944
WL_EET,"",0.24140748443053353,0.027492052344559592,0.009799409566434075
